序號,時間資訊,事件描述（代表性經文開頭 + 精煉直述事件）,地理資訊,出處,備註,耶穌基督後期聖徒教會關聯
1,出埃及前 (約 80 年前)/摩西 0 歲,「有不認識約瑟的新王起來，治理埃及。」埃及王忌憚以色列民強盛，嚴厲苦待並命收生婆殺男嬰未果，遂令眾民將以色列男嬰棄於河。,埃及 (蘭塞/歌珊地),出 1:8-22,利未、哥轄、暗蘭、摩西四代族譜精確應驗預言（創 15:16）；埃及（Mitzrayim）意為雙重受壓；後裔必寄居受苦四百年的預言（創 15:13）。,教約 133:67-68 記載聖徒將從屬靈埃及中被招聚出來。
2,出埃及前 80 年 (摩西出生)/摩西 0 歲,「見他是一個俊美的孩子，就藏了他三個月。」父母藏摩西三月，後置蒲草箱於河邊，蒙法老女兒收養，姊姊薦其母任乳母領回家乳養。,埃及 (蘭塞/歌珊地),出 2:1-10,藏了他三個月 (出 2:1-10); 摩西（Moshe）意為「從水裡拉出來」（出 2:10）；尼羅河既是殺戮場也是救贖地；父母因著信將他藏了三個月（來 11:23）。,阿 36:28 記載先祖出埃及與洗禮及聖職救贖之關聯。
3,出埃及前 40 年 (摩西逃往米甸)/摩西 40 歲,「他左右張望，見沒有人，就把埃及人打死了。」摩西見希伯來同胞受虐，趁左右無人暗殺埃及人，事發後法老欲殺之，摩西遂逃往米甸。,埃及 (蘭塞) → 米甸 (約 300km),出 2:11-15,"米甸（Midian）意為「爭戰」，位於阿卡巴灣沿岸；摩西從法老繼承人轉為曠野牧羊人，經歷 40 年靈性重塑（徒 7:23, 30）。",阿 36:28 記載漂流與離開埃及之歷史為帶領聖徒脫離束縛之核心先例。
4,出埃及前 40-1 年 (米甸牧羊)/摩西 40-80 歲,「摩西甘心和那人同住。」摩西於井旁救米甸祭司七女免受牧人欺凌，遂娶西坡拉為妻，在米甸曠野專心牧羊四十年。,米甸 (阿卡巴灣東岸),出 2:16-22,牧羊四十年 (出 2:16-22); 西波拉（Zipporah）意為「小鳥」；摩西甘心和那人同住，娶了西波拉為妻，生下革舜（Gershom，意為「在外邦作了寄居的」）。,教約 84:6 記載摩西在米甸曠野自葉忒羅處獲得麥基洗德聖職。
5,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「耶和華的使者從荊棘裡的火焰中向摩西顯現。」神於何烈山火中召摩西，啟示「自有永有」之名，授三神蹟並遣其領民出埃及。,何烈山 (西乃山),出 3:1-4:17,系統架構：十災非密集於14天內發生，而是跨越約6-9個月的長期抗衡； 何烈山（Horeb）意為「荒廢之地」；神在荊棘火焰中宣告使命，應許百姓出埃及後必在此山事奉神（出 3:12）。,教約 39:1 記載自有的耶和華即為耶穌基督；摩西 1:1-22 記載摩西看見神的全貌並奉神子之名斥退撒旦；教約 110:11 記載摩西於1836年將以色列聚集的權鑰交託予約瑟斯密。
6,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「亞倫把杖丟在法老和臣僕面前，杖就變作蛇。」摩西亞倫首見法老行神蹟，術士亦效之但亞倫之杖吞了術士之杖，法老心裡剛硬不肯放民。,米甸 → 埃及 (約 320km),出 7:8-13,亞倫（Aaron）意為「開路者」；神立亞倫為摩西的「口」，確立了日後大祭司制度的雛形（出 4:14-16）。,教約 8:6-7 記載亞倫持杖之恩賜在法理上具有行政、保護與顯明神蹟之聖職權柄。
7,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「河裡的魚必死，河也要腥臭。」【第一災，血災】亞倫擊河水變血，魚死水臭，埃及人掘地求水，此災歷經七日法老仍不聽從。,埃及 (蘭塞/歌珊地),出 7:14-25,農業考證：始於尼羅河漲水期（公曆約8-9月）； 七日 (出 7:14-25); 第一災水變血（出 7:14-25）；審判尼羅河守護神哈比（Hapi），證明耶和華主宰生命之源。,教約 133:68 記載主用話語使江河乾涸與變血之能力；尼三 8:5-19 記載此物理破壞力於美洲大陸基督受難之對照；教約 29:16 記載此物理破壞力於末日審判中之對照。
8,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「青蛙就上來，遮滿了埃及地。」【第二災，蛙災】無數青蛙入宮殿臥房，法老求饒後神使蛙死，法老見災禍稍緩隨即反悔。,埃及 (蘭塞/歌珊地),出 8:1-15,第二災青蛙（出 8:1-15）；審判生育女神海奎特（Heqet，蛙首人身），豐饒象徵變為災殃。,尼一 17:23-25 記載拒絕神的話語將招致物理毀滅之美洲歷史對照。
9,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「就在人身上和牲畜身上有了蝨子。」【第三災，蝨災】亞倫擊塵土變蝨遍布人畜，術士承認此乃神的手段，法老心裡依舊剛硬。,埃及 (蘭塞/歌珊地),出 8:16-19,第三災虱子（出 8:16-19）；審判大地之神蓋布（Geb），術士承認「這是神的指頭」。,教約 8:3 記載術士所承認之神的指頭定義為聖靈與大能的顯現。
10,出埃及前 1 年 (約 6-9 個月期間)/摩西 80 歲 / 亞倫 83 歲 / 約書亞 41 歲 ,「埃及人的房屋和他們所住的地都要滿了成群的蒼蠅。」【第四災，蠅災】蒼蠅敗壞埃及全地，神分別歌珊地無災；法老願民留本地祭祀被拒，第四次頑固拒絕放民。,埃及 (蘭塞/歌珊地),出 8:20-32,第四災蒼蠅（出 8:20-32）；審判甲蟲神凱布利（Khepri）；神將歌珊地（Goshen）以色列民與埃及人區別保護。；歌珊地（Goshen）在古埃及語中意為「灌溉的土地」或「靠近之處」。,教約 45:64-71 記載分別歌珊地保護之法理與末日聖徒聚集於錫安躲避災殃之定例對接。
